,Apela,Bambi,Bmp4,Bmp6,Bmp7,Bnc2,Calca,Cnpy1,Cx3cl1,Dbx1,Dkk2,Dlk1,Dlx2,Dmrt1,Dmrt3,Ednrb,Efna2,Egfem1,Emx2,En1,En2,Ephb2,Eya4,Fezf1,Fezf2,Fgf15,Fgf17,Fgf8,Fgfr3,Folr1,Foxa1,Foxa2,Foxj1,Fzd5,Gli3,Gsx2,Hes3,Hopx,Hoxb1,Igfbp5,Irs4,Irx1,Irx3,Irx5,Ism1,Klhl14,Lhx5,Lmo2,Lmx1a,Lmx1b,Lrtm1,Maf,Metrnl,Msx1,Msx2,Msx3,Ngf,Nkx2-1,Nkx2-2,Nkx2-9,Nkx6-1,Nkx6-2,Nr2e1,Nrg1,Nrg3,Ntf3,Ntn1,Ostm1,Pappa,Pax3,Pax5,Pax6,Pax7,Pax8,Phox2b,Ptch1,Ptprz1,Ptx3,Rax,Ror1,Rspo1,Rspo2,Rspo3,Rxrg,Sema5a,Shh,Sim1,Six3,Six6,Slit1,Sost,Sp8,Spon1,Stum,Tal2,Tfap2c,Tox2,Trh,Trhr,Unc5c,Veph1,Wnt1,Wnt3,Wnt3a,Wnt4,Wnt5a,Wnt5b,Wnt7b,Wnt8b,Wnt9a
1009,0.0,0.0,323.41104,62.537483,124.560524,353.92615,0.0,0.0,19.826605,0.0,78.444756,101.14773,0.0,0.0,54.096752,112.6858,0.7122735,55.487713,26.5549,0.0,0.0,186.0732,50.54117,0.30035153,0.4724377,0.0,292.70093,28.045652,0.0,3.742982,0.0,0.0,0.0,0.0,920.3248,0.0,0.0,4.7979727,0.0,146.22414,0.0,0.0,0.0,50.89192,0.0,1.7169212,33.375084,34.482883,117.45695,67.31071,0.0,86.65771,1.3541731,1.0148672,0.0,0.0,0.0,0.0,2.521284,0.0,1.7231803,0.0,28.15225,195.0164,156.62463,67.44835,48.403286,134.0207,22.028103,209.06926,13.442261,261.38876,28.382483,3.734242,2.285109,594.1279,49.54511,0.0,0.0,1158.1055,46.62451,243.57329,104.90234,0.0,54.810024,0.0,8.29882,59.134068,1.5767578,3.5702446,0.0,0.44261137,28.235655,0.0,0.0,23.180534,15.25508,0.0,0.0,1020.03076,58.731895,0.0,0.0,3.1951203,1.5902308,121.47394,297.66937,18.604574,96.11624,127.251045
1010,0.0,0.0,32.291176,8.008341,77.38401,855.99884,0.0,0.42955616,0.0,0.0,163.52261,71.50483,1.456182,0.0,26.997736,8.77262,19.440123,47.635983,37.8961,0.0,0.0,330.76382,309.98935,0.0,0.0,0.6034262,2.2498565,0.50662553,0.0,1.5557433,0.0,0.0,0.0,0.0,986.2796,0.0,0.0,5.876196,0.0,144.83112,0.0,0.47863632,2.2721362,122.305046,18.424335,0.0,3.8435,1.7862656,79.33532,141.09053,0.99385583,5.1650977,1.4950075,0.0,0.0,0.0,11.214482,0.0,1.5652944,0.0,0.0,0.0,30.15388,52.82624,58.172596,78.46975,95.22054,30.190367,58.885517,259.43048,5.5365777,44.262146,32.737617,0.0,0.0,273.83105,19.82082,0.0,0.0,1852.6019,73.48529,24.614445,24.15744,0.0,208.76228,0.0,8.725069,6.9351387,0.0,18.72685,0.0,1.0912343,132.71455,0.0,0.8764473,32.97741,27.710855,0.0,0.0,708.7283,155.50159,0.0,1.5714829,0.99463266,7.479556,109.055305,675.866,6.951166,1.7286668,6.405389
1011,0.28087077,0.0,58.652905,7.444568,86.375885,826.5746,0.0,0.0,1.4059427,0.0,162.07211,82.710045,9.747549,0.0,26.00641,22.029026,12.549859,39.312634,47.525906,0.0,0.0,340.68933,186.64304,0.0,0.0,1.0583923,20.318121,2.226465,0.0,0.0,0.0,0.0,0.0,0.39658117,849.54333,0.0,0.0,0.6506852,0.0,185.32166,0.0,0.0,1.003895,61.052807,18.436354,1.3068388,2.9720469,10.580266,29.1548,68.8201,0.33519965,11.771259,6.9933553,0.29451868,0.0,0.0,7.2983146,2.3204117,69.97789,0.0,1.8926454,1.7109272,19.872503,70.484924,64.83961,71.95768,74.58718,29.274584,65.804596,233.76074,14.90101,78.48443,19.572653,0.8174055,0.0,588.4314,45.487144,0.0,0.0,1678.3278,49.316795,28.944017,39.206917,0.88502795,185.0446,0.0,11.0535345,13.204512,0.0,43.647354,1.0220703,0.5027002,276.00745,0.7895132,3.517541,44.03203,27.816008,0.0,0.0,885.5911,136.90128,0.5941622,1.3418466,0.64730066,4.0506096,135.04034,385.42035,3.7068226,6.4331846,44.38466
1012,0.0,0.0,24.738295,208.4961,139.84012,276.06155,0.0,0.89691293,2.3314502,0.0,29.108711,66.79923,3.374804,0.0,87.43941,19.7488,3.6962664,235.69989,266.89072,0.0,0.0,425.68976,96.948166,3.4289896,4.994867,1.7286319,27.058811,1.0481182,0.6021297,1.0239187,0.0,0.0,0.0,0.0,1085.1722,0.0,0.0,1.5497686,0.0,136.48653,0.0,0.0,0.7845427,72.05901,1.8362832,22.210112,42.989433,14.501855,235.70056,61.065567,0.0,0.36033732,0.5055082,0.0,0.0,0.0,0.0,10.269416,8.620617,0.0,0.43939972,0.61287546,57.704887,299.17465,262.9006,15.063153,37.301155,60.41707,15.40411,298.73618,11.403983,222.59227,26.798094,48.6999,4.190138,242.46646,87.88463,1.6782061,0.0,685.84296,186.40703,96.15447,132.10828,1.3877869,34.507107,0.0,8.3448,20.934258,0.0,101.85762,3.321036,21.816025,98.00463,3.8110049,6.113621,61.77039,48.568424,0.0,0.0,615.6833,28.366625,65.86349,5.053438,94.480194,0.65327,15.305707,256.31616,19.068745,29.783127,694.4137
1013,0.0,0.0,81.58469,0.48160678,28.234152,717.1332,0.0,0.0,2.590728,0.0,212.1362,125.81644,9.028179,0.0,26.752764,20.18604,7.1410875,197.98212,22.04202,0.0,0.0,390.16602,220.86897,1.2715558,1.0928435,7.7319655,18.44495,9.058626,4.1038756,0.0,0.0,0.0,0.0,0.0,776.64014,0.0,0.0,1.0511068,0.0,266.28543,1.134139,0.0,0.0,72.330414,0.0,0.44388378,13.537504,1.5313926,5.5847955,12.9129305,0.0,97.16827,6.898446,0.9926728,0.0,0.0,0.0,7.711477,11.8615675,0.0,1.22932,2.5966763,58.033646,230.25974,148.15169,77.42532,80.696815,72.82745,90.576065,107.54966,1.3665406,125.07688,13.261545,0.0,0.0,498.47647,173.54158,0.0,0.6668703,1202.4155,60.41709,17.3105,15.178343,0.0,162.34079,0.0,15.656461,60.249157,7.5339875,5.5111604,0.0,2.521297,114.62818,0.0,0.0,42.079613,53.156433,0.0,0.0,1109.0227,226.8485,0.0,0.0,0.65369856,0.0,60.97023,418.09662,12.019092,0.0,2.8846905
1014,1.513077,0.0,7.2442966,1.8608019,16.18897,13.326394,0.0,0.0,7.9393044,0.55450296,21.808344,251.22408,1.1213424,0.8840105,30.723589,3.974797,5.4935856,110.97861,249.50461,0.0,0.0,310.03915,76.38658,9.676156,6.249026,46.391907,172.52002,20.52057,0.3485923,5.173339,0.0,0.0,0.0,0.0,1635.2255,0.0,0.0,7.3485074,0.0,94.104225,2.9602757,0.0,0.0,0.0,6.2688,26.854942,33.072704,2.5678136,18.394041,5.146832,0.0,1.6457462,0.0,0.0,0.0,0.0,0.0,7.990109,9.042043,0.0,1.3239384,0.0,333.75092,66.01768,1103.2278,32.522762,179.64612,386.66577,169.07082,27.053802,135.2402,321.15817,1.485187,0.0,0.0,238.91705,214.36763,0.0,0.5071433,98.61816,195.69748,1.6296378,7.105477,0.0,167.01822,0.0,0.0,111.28007,3.7595322,22.828182,0.0,60.334137,140.38028,0.0,1.8268257,10.388658,124.16559,0.0,0.0,128.62556,16.358944,0.0,1.9539324,0.0,0.0,12.912713,1054.6307,39.554024,10.835302,8.036841
1015,3.2771606,0.68924123,7.617156,1.2860394,14.498182,9.339902,0.0,0.27441695,1.3251328,0.0,8.291086,253.54047,5.6983843,1.1692846,14.503839,19.361197,4.4740205,221.17827,177.40486,0.0,0.0,323.29834,90.13235,4.9041605,2.415,48.687187,161.69215,11.828773,1.6788335,5.519645,0.0,0.0,0.0,0.49073502,1549.8086,0.5242174,0.0,6.051712,0.0,105.75961,7.4068704,0.0,0.0,1.1151543,1.5117452,23.344557,28.488281,0.77984095,13.391077,2.7756603,0.0,3.6855965,0.0,0.0,0.0,0.0,0.0,3.882506,19.82384,0.0,1.0903022,0.0,396.74377,81.8796,1006.0285,16.741928,240.54695,450.55994,182.82973,28.783989,120.83261,367.48325,2.355482,0.0,0.0,230.21591,341.79065,0.0,0.3079889,95.66579,173.35228,2.5915205,10.0203495,0.0,193.3062,0.0,0.0,126.66602,12.038965,18.149431,0.0,44.463734,58.51251,0.4250946,0.0,6.8487186,142.991,0.0,0.0,94.67308,36.022297,0.0,3.4441123,0.0,0.4085334,14.149439,932.0295,43.83212,3.0109508,7.445375
1016,3.9794095,1.3717519,5.4867845,0.8359552,17.126667,9.773886,0.0,0.0,0.0,0.55450296,6.752253,228.9125,8.071462,0.8840105,24.283255,11.392269,6.291448,143.48456,207.44945,0.0,0.0,293.55005,71.0749,7.4279966,2.808302,55.962948,197.38031,11.312423,0.3485923,5.5215654,0.0,0.0,0.0,0.0,1749.7407,1.3717519,0.0,7.3484616,0.0,85.322945,4.253219,0.0,0.0,0.9234445,0.4611449,23.156918,25.857784,0.9243001,17.543993,3.3704448,0.0,2.6786187,0.0,0.0,0.0,0.0,0.0,4.1265225,2.1731253,0.0,0.0,0.0,384.92477,71.82707,1124.637,16.44141,219.53981,434.53143,150.4112,31.560387,138.88953,334.9566,3.5120616,0.0,0.0,152.6541,271.2079,0.0,0.36519513,99.76866,217.20016,0.77367234,6.438552,0.0,241.05202,0.0,0.0,114.583954,4.829953,10.793921,0.0,68.97034,22.393988,0.5161863,1.8268257,13.545671,108.60053,0.0,0.0,50.334347,17.503996,0.0,2.7120616,0.0,0.49607626,7.7267466,1022.8654,38.822826,4.3789845,8.278539
1017,0.0,0.0,5.0197086,1.2351806,18.012833,7.741191,0.0,0.0,0.0,0.0,7.132131,268.3858,0.6951104,1.1976916,20.990057,4.7530346,6.8325734,163.36258,210.23901,0.0,0.0,308.05643,67.75844,7.0468974,2.0251331,56.11779,192.36534,9.7502575,1.1150986,6.899809,0.0,0.0,0.0,0.0,1635.9431,0.0,0.0,9.95598,0.0,87.757355,5.0106335,0.0,0.0,0.0,2.4870646,27.466923,28.28471,0.0,20.65527,2.2396114,0.0,0.5971318,0.0,0.0,0.0,0.0,0.0,1.1871377,6.7530723,0.0,0.0,0.0,396.5377,66.61598,1165.3783,18.19816,219.38847,424.96417,147.9594,20.359135,140.46933,319.69717,1.9482213,0.0,0.0,149.70207,200.61594,0.0,0.0,94.42616,241.70363,1.0482012,8.723199,0.0,255.04958,0.0,0.0,133.4639,11.295709,10.617595,0.0,67.47869,34.346016,0.0,1.1775149,6.5899734,111.83346,0.0,0.0,60.986885,15.611876,0.0,3.674406,0.0,0.0,10.926486,1063.6809,38.079967,4.4921327,9.051697
1018,5.064703,0.2550368,1.7525051,0.4909917,20.302925,6.553954,0.0,0.0,2.5513098,0.0,7.2919216,278.70587,1.0727781,1.1251043,4.771338,18.828272,5.2146387,299.92426,173.71948,0.0,0.0,341.1281,63.43153,6.800807,1.1926339,58.89309,150.59518,7.305534,1.5100554,5.146993,0.0,0.0,0.0,0.75840867,1481.467,0.0,0.0,1.0054108,0.0,99.65757,15.526146,0.0,0.0,0.0,0.5869117,25.594551,20.82557,0.9358573,14.918764,2.1038775,0.0,1.2881371,0.0,0.0,0.0,0.0,0.0,3.770894,22.021732,0.0,0.0,1.3724728,430.66907,80.889366,964.59717,11.867081,262.4601,548.7612,165.94423,12.463049,125.72115,298.08603,1.0644919,0.0,0.0,253.92262,353.81976,0.0,0.0,99.407585,191.66682,0.7560417,8.547504,0.0,173.84053,0.0,0.0,125.64911,29.086578,3.8437011,0.0,51.143482,47.548706,0.0,0.0,2.3860471,183.37308,0.0,0.0,61.669353,26.134075,0.0,4.7223577,0.0,0.0,9.95691,918.9389,39.10883,0.59363526,7.061634
