,gamma,beta,offset,a,t,h,intercept
Apela,9.105467,5.229682,-0.71867925,2.6303477,-0.6401891,231.11598,-0.26495445
Bambi,0.008098119,41.262447,0.0,1.0,0.5,973.2895,0.0
Bmp4,0.06987544,10.092801,-0.02563667,0.8409894,1.9145544,251.43153,3.9674377
Bmp6,2.200686,0.57152104,-0.41022003,1.4172156,1.7406608,40.12225,-9.406813
Bmp7,0.12365141,8.375895,0.2433101,1.115556,1.8393848,314.63293,3.929983
Bnc2,20.075794,0.04692385,0.0,1.0,0.5,74.868225,0.0
Calca,0.21905057,7.5831404,0.011569946,2.872607,1.7472808,100.35679,-0.53046113
Cnpy1,1.5609707,36.790462,1.8922817,64.14579,0.8086914,765.2981,-5.725309
Cx3cl1,0.3677853,4.8570113,0.5095368,2.3212278,1.7562215,179.55246,2.0294359
Dbx1,0.008854703,90.371925,0.0,1.0,0.5,3408.298,0.0
Dkk2,0.7129627,2.3438563,-1.8398534,3.8698895,1.3153187,430.48883,-29.195738
Dlk1,30.162947,246.43105,2.259116,9.602445,0.119677834,3065.332,1.0306929
Dlx2,10.617821,35.345005,-0.7410915,8.01058,-0.067105316,1106.9937,0.11853932
Dmrt1,0.2732819,3.642434,0.0,1.0,0.5,523.3383,0.0
Dmrt3,9.49829,2.421286,-2.7409072,2.3448367,-0.48589498,171.59897,1.9489255
Ednrb,8.143804,5.506559,0.7264184,0.38699543,-1.1402321,192.63495,9.007215
Efna2,0.017730901,74.98872,-1.8574948,2.907307,1.2899973,812.0133,0.48210448
Egfem1,31.11037,0.033115234,0.0,1.0,0.5,121.64529,0.0
Emx2,9.405708,7.3022914,-5.2470503,3.0505214,-0.26608187,542.96857,-0.07877924
En1,0.03597628,196.38748,1.561736,45.939735,0.84295803,742.4877,-0.7963684
En2,0.024219109,164.08313,-2.3002849,53.124306,0.79956913,144.95001,-0.4313561
Ephb2,1.8096489,0.5217861,-0.81140023,0.2713053,1.9874266,194.725,25.21303
Eya4,14.023058,0.07397289,0.0,1.0,0.5,98.032776,0.0
